AMS Cloud Engineer,€ 85 - € 100 per uur,03-04-2024 t/m 03-04-2025,https://www.kvkhuurtin.nl/Opdracht/Kamer-van-Koophandel/AMS-Cloud-Engineer/1038
Microsoft Azure Cloud Engineer,€ 85 - € 100 per uur,03-04-2024 t/m 03-04-2025,https://www.kvkhuurtin.nl/Opdracht/Kamer-van-Koophandel/Microsoft-Azure-Cloud-Engineer/1039
IT Solution Engineer,€ 85 - € 100 per uur,03-04-2024 t/m 03-10-2024,https://www.kvkhuurtin.nl/Opdracht/Kamer-van-Koophandel/IT-Solution-Engineer/1044
Ketenspecialist IT keten,€ 100 - € 111 per uur,01-04-2024 t/m 01-04-2025,https://www.kvkhuurtin.nl/Opdracht/Kamer-van-Koophandel/Ketenspecialist-IT-keten/1029
DevOps Engineer team DaVinci,€ 85 - € 100 per uur,25-03-2024 t/m 25-09-2024,https://www.kvkhuurtin.nl/Opdracht/Kamer-van-Koophandel/DevOps-Engineer-team-DaVinci/1037
